complaint_id,expected_category,genai_category,python_expected_category,genai_department,python_department,genai_urgency,python_urgency,genai_escalation,python_escalation,policy_reference,match_or_mismatch,category_match,department_match,urgency_match,escalation_match,policy_match,verification_status,explanation_of_disagreement
CMP-ID-1261,Account Management,Billing & Payments,Account Management,Billing & Payment Operations,Account Management & Customer Care,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'VelvoCart Prime Renewal / Cancellation Issue'}, Expected={'category': 'Account Management', 'subcategory': 'VelvoCart Prime Renewal / Cancellation Issue'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Account Management & Customer Care'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify VelvoCart Prime Renewal / Cancellation Issue order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1412,Promotions & Pricing,Billing & Payments,Promotions & Pricing,Billing & Payment Operations,Billing & Payment Operations,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,True,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Misleading Deal / Flash Sale Dispute'}, Expected={'category': 'Promotions & Pricing', 'subcategory': 'Misleading Deal / Flash Sale Dispute'}; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Misleading Deal / Flash Sale Dispute order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1378,Customer Service Experience,Billing & Payments,Customer Service Experience,Billing & Payment Operations,Account Management & Customer Care,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Repeated Unresolved Issue'}, Expected={'category': 'Customer Service Experience', 'subcategory': 'Repeated Unresolved Issue'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Account Management & Customer Care'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Repeated Unresolved Issue order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1486,Order & Delivery,Billing & Payments,Billing & Payments,Marketplace & Seller Operations,Marketplace & Seller Operations,Medium,Medium,False,False,KB-DOC-1001,MATCH,True,True,True,True,True,Verified,
CMP-ID-1205,Product Quality & Authenticity,Billing & Payments,Product Quality & Authenticity,Billing & Payment Operations,Product Quality & Vendor Assurance,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Missing Accessories or Components'}, Expected={'category': 'Product Quality & Authenticity', 'subcategory': 'Missing Accessories or Components'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Product Quality & Vendor Assurance'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Missing Accessories or Components order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1555,Customer Service Experience,Billing & Payments,Customer Service Experience,Billing & Payment Operations,Account Management & Customer Care,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Repeated Unresolved Issue'}, Expected={'category': 'Customer Service Experience', 'subcategory': 'Repeated Unresolved Issue'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Account Management & Customer Care'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Repeated Unresolved Issue order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1520,Account Security & Fraud,Billing & Payments,Account Security & Fraud,Billing & Payment Operations,Trust & Safety (Fraud & Security),Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Data Privacy / Security Incident Concern'}, Expected={'category': 'Account Security & Fraud', 'subcategory': 'Data Privacy / Security Incident Concern'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Trust & Safety (Fraud & Security)'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Data Privacy / Security Incident Concern order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1536,Account Security & Fraud,Billing & Payments,Account Security & Fraud,Billing & Payment Operations,Trust & Safety (Fraud & Security),Critical,Critical,True,False,KB-DOC-1001,MISMATCH,False,False,True,False,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Data Privacy / Security Incident Concern'}, Expected={'category': 'Account Security & Fraud', 'subcategory': 'Data Privacy / Security Incident Concern'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Trust & Safety (Fraud & Security)'; Escalation mismatch: GenAI=True, Python Ground-Truth Enforces=False; Resolution steps failure: Missing required actions: ['Verify Data Privacy / Security Incident Concern order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1297,Account Security & Fraud,Billing & Payments,Account Security & Fraud,Marketplace & Seller Operations,Trust & Safety (Fraud & Security),Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Phishing / Scam Seller Report'}, Expected={'category': 'Account Security & Fraud', 'subcategory': 'Phishing / Scam Seller Report'}; Department mismatch: GenAI='Marketplace & Seller Operations', Expected='Trust & Safety (Fraud & Security)'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Phishing / Scam Seller Report order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1238,Account Management,Billing & Payments,Account Management,Billing & Payment Operations,Account Management & Customer Care,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Account Suspended or Restricted'}, Expected={'category': 'Account Management', 'subcategory': 'Account Suspended or Restricted'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Account Management & Customer Care'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Account Suspended or Restricted order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1226,Account Management,Billing & Payments,Account Management,Account Management & Customer Care,Account Management & Customer Care,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,True,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Unable to Login / Password Reset Error'}, Expected={'category': 'Account Management', 'subcategory': 'Unable to Login / Password Reset Error'}; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Unable to Login / Password Reset Error order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1081,Billing & Payments,Billing & Payments,Billing & Payments,Billing & Payment Operations,Billing & Payment Operations,Medium,Low,False,False,KB-DOC-1001,MISMATCH,True,True,False,True,True,Manual Review Required,"Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Incorrect Charge on Checkout order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1098,Billing & Payments,Billing & Payments,Billing & Payments,Billing & Payment Operations,Billing & Payment Operations,Medium,Low,False,False,KB-DOC-1001,MISMATCH,True,True,False,True,True,Manual Review Required,"Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Failed Payment Transaction order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1096,Billing & Payments,Billing & Payments,Billing & Payments,Billing & Payment Operations,Billing & Payment Operations,Medium,Low,False,False,KB-DOC-1001,MISMATCH,True,True,False,True,True,Manual Review Required,"Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Refund Not Processed / Delayed order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1263,Account Management,Billing & Payments,Account Management,Billing & Payment Operations,Account Management & Customer Care,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'VelvoCart Prime Renewal / Cancellation Issue'}, Expected={'category': 'Account Management', 'subcategory': 'VelvoCart Prime Renewal / Cancellation Issue'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Account Management & Customer Care'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify VelvoCart Prime Renewal / Cancellation Issue order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1306,Account Security & Fraud,Billing & Payments,Account Security & Fraud,Compliance & Legal Affairs,Trust & Safety (Fraud & Security),Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Data Privacy / Security Incident Concern'}, Expected={'category': 'Account Security & Fraud', 'subcategory': 'Data Privacy / Security Incident Concern'}; Department mismatch: GenAI='Compliance & Legal Affairs', Expected='Trust & Safety (Fraud & Security)'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Data Privacy / Security Incident Concern order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1067,Billing & Payments,Billing & Payments,Billing & Payments,Billing & Payment Operations,Billing & Payment Operations,Medium,Low,False,False,KB-DOC-1001,MISMATCH,True,True,False,True,True,Manual Review Required,"Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Duplicate Payment Deducted order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1160,Returns & Refunds,Billing & Payments,Returns & Refunds,Billing & Payment Operations,Returns & Reverse Logistics,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Item Rejected at Return Hub'}, Expected={'category': 'Returns & Refunds', 'subcategory': 'Item Rejected at Return Hub'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Returns & Reverse Logistics'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Item Rejected at Return Hub order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1214,Product Quality & Authenticity,Billing & Payments,Product Quality & Authenticity,Billing & Payment Operations,Product Quality & Vendor Assurance,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Missing Accessories or Components'}, Expected={'category': 'Product Quality & Authenticity', 'subcategory': 'Missing Accessories or Components'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Product Quality & Vendor Assurance'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Missing Accessories or Components order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1503,Returns & Refunds,Billing & Payments,Returns & Refunds,Billing & Payment Operations,Returns & Reverse Logistics,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Return Request Denied'}, Expected={'category': 'Returns & Refunds', 'subcategory': 'Return Request Denied'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Returns & Reverse Logistics'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Return Request Denied order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1053,Order & Delivery,Billing & Payments,Order & Delivery,Billing & Payment Operations,Order Fulfillment & Logistics,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Delivery Address Issue'}, Expected={'category': 'Order & Delivery', 'subcategory': 'Delivery Address Issue'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Order Fulfillment & Logistics'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Delivery Address Issue order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1110,Billing & Payments,Billing & Payments,Billing & Payments,Billing & Payment Operations,Billing & Payment Operations,Medium,Low,False,False,KB-DOC-1001,MISMATCH,True,True,False,True,True,Manual Review Required,"Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Gift Card / Voucher Application Error order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1557,Customer Service Experience,Billing & Payments,Customer Service Experience,Billing & Payment Operations,Account Management & Customer Care,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Repeated Unresolved Issue'}, Expected={'category': 'Customer Service Experience', 'subcategory': 'Repeated Unresolved Issue'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Account Management & Customer Care'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Repeated Unresolved Issue order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1543,Customer Service Experience,Billing & Payments,Customer Service Experience,Billing & Payment Operations,Account Management & Customer Care,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Repeated Unresolved Issue'}, Expected={'category': 'Customer Service Experience', 'subcategory': 'Repeated Unresolved Issue'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Account Management & Customer Care'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Repeated Unresolved Issue order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1170,Product Quality & Authenticity,Billing & Payments,Product Quality & Authenticity,Product Quality & Vendor Assurance,Product Quality & Vendor Assurance,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,True,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Defective or Malfunctioning Product'}, Expected={'category': 'Product Quality & Authenticity', 'subcategory': 'Defective or Malfunctioning Product'}; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Defective or Malfunctioning Product order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1080,Billing & Payments,Billing & Payments,Billing & Payments,Billing & Payment Operations,Billing & Payment Operations,Medium,Low,False,False,KB-DOC-1001,MISMATCH,True,True,False,True,True,Manual Review Required,"Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Incorrect Charge on Checkout order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1161,Returns & Refunds,Billing & Payments,Returns & Refunds,Billing & Payment Operations,Returns & Reverse Logistics,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Item Rejected at Return Hub'}, Expected={'category': 'Returns & Refunds', 'subcategory': 'Item Rejected at Return Hub'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Returns & Reverse Logistics'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Item Rejected at Return Hub order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1421,Regulatory & Legal Compliance,Billing & Payments,Regulatory & Legal Compliance,Compliance & Legal Affairs,Compliance & Legal Affairs,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,True,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Data Privacy Law Violation'}, Expected={'category': 'Regulatory & Legal Compliance', 'subcategory': 'Data Privacy Law Violation'}; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Data Privacy Law Violation order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1427,Regulatory & Legal Compliance,Billing & Payments,Regulatory & Legal Compliance,Compliance & Legal Affairs,Compliance & Legal Affairs,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,True,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Data Privacy Law Violation'}, Expected={'category': 'Regulatory & Legal Compliance', 'subcategory': 'Data Privacy Law Violation'}; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Data Privacy Law Violation order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1169,Product Quality & Authenticity,Billing & Payments,Product Quality & Authenticity,Product Quality & Vendor Assurance,Product Quality & Vendor Assurance,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,True,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Defective or Malfunctioning Product'}, Expected={'category': 'Product Quality & Authenticity', 'subcategory': 'Defective or Malfunctioning Product'}; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Defective or Malfunctioning Product order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1155,Returns & Refunds,Billing & Payments,Returns & Refunds,Billing & Payment Operations,Returns & Reverse Logistics,Medium,High,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Return Shipping Fee Dispute'}, Expected={'category': 'Returns & Refunds', 'subcategory': 'Return Shipping Fee Dispute'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Returns & Reverse Logistics'; Urgency mismatch: GenAI='Medium', Objective Expected='High'; Resolution steps failure: Missing required actions: ['Verify Return Shipping Fee Dispute order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1159,Returns & Refunds,Billing & Payments,Returns & Refunds,Billing & Payment Operations,Returns & Reverse Logistics,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Item Rejected at Return Hub'}, Expected={'category': 'Returns & Refunds', 'subcategory': 'Item Rejected at Return Hub'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Returns & Reverse Logistics'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Item Rejected at Return Hub order record', 'Issue standard goodwill credit or replacement within $50 limit']"
